Match,Day,Date,Time,Stadium,City
Ironi Tiberias vs Maccabi Petah Tikva,Saturday,2025-02-08,N/A,Tiberias Municipal Stadium,Tiberias
Maccabi Haifa vs Hapoel Haifa,Saturday,2025-02-08,N/A,Sammy Ofer Stadium,Haifa
Beitar Jerusalem vs Hapoel Hadera,Saturday,2025-02-08,N/A,Teddy Stadium,Jerusalem
Bnei Sakhnin vs Maccabi Bnei Raina,Saturday,2025-02-08,N/A,Doha Stadium,Sakhnin
Ashdod vs Hapoel Be'er Sheva,Saturday,2025-02-08,N/A,Yud-Alef Stadium,Ashdod
Ironi Kiryat Shmona vs Maccabi Tel Aviv,Saturday,2025-02-08,N/A,Kiryat-Shmona Municipal Stadium,Kiryat Shmona
Hapoel Jerusalem vs Maccabi Haifa,Saturday,2025-02-15,N/A,Teddy Stadium,Jerusalem
Hapoel Hadera vs Ironi Kiryat Shmona,Saturday,2025-02-15,N/A,Shar-Tov Stadium,Netanya
Maccabi Bnei Raina vs Ashdod,Saturday,2025-02-15,N/A,Green Stadium,Nazareth Illit
Maccabi Petah Tikva vs Maccabi Netanya,Saturday,2025-02-15,N/A,HaMoshava Stadium,Petach Tikva
Maccabi Tel Aviv vs Bnei Sakhnin,Saturday,2025-02-15,N/A,Bloomfield Stadium,Tel Aviv
Hapoel Be'er Sheva vs Ironi Tiberias,Saturday,2025-02-15,N/A,Turner Stadium,Be'er Sheva
Hapoel Haifa vs Beitar Jerusalem,Saturday,2025-02-15,N/A,Sammy Ofer Stadium,Haifa
Maccabi Haifa vs Maccabi Petah Tikva,Saturday,2025-02-22,N/A,Sammy Ofer Stadium,Haifa
Bnei Sakhnin vs Hapoel Hadera,Saturday,2025-02-22,N/A,Doha Stadium,Sakhnin
Ironi Kiryat Shmona vs Hapoel Haifa,Saturday,2025-02-22,N/A,Kiryat-Shmona Municipal Stadium,Kiryat Shmona
Beitar Jerusalem vs Hapoel Jerusalem,Saturday,2025-02-22,N/A,Teddy Stadium,Jerusalem
Maccabi Netanya vs Hapoel Be'er Sheva,Saturday,2025-02-22,N/A,Shar-Tov Stadium,Netanya
